# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
16

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,HVYNISNPNK,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
2.251203366079804979e+00, 8.178721143085083689e-01, -7.692746876871159323e-01, 8.000000000000000444e-01, 2.500000000000000000e-01
2.248751686272469463e+00, 6.352870739546772061e-01, -1.012772849483332127e+00, 8.000000000000000444e-01, 5.000000000000000000e-01
2.246917566174392089e+00, 3.522874626103237317e-01, -1.186748608688675155e+00, 8.000000000000000444e-01, 7.500000000000000000e-01
2.246252300595972251e+00, 2.486899575160350702e-17, -1.253884025733857488e+00, 8.000000000000000444e-01, 1.000000000000000000e+00
2.246917566174392089e+00, -3.522874626103236761e-01, -1.186748608688675155e+00, 8.000000000000000444e-01, 1.250000000000000000e+00
2.248751686272469463e+00, -6.352870739546774281e-01, -1.012772849483332127e+00, 8.000000000000000444e-01, 1.500000000000000000e+00
2.251203366079805868e+00, -8.178721143085087020e-01, -7.692746876871158213e-01, 8.000000000000000444e-01, 1.750000000000000000e+00
2.252486191367482959e+00, -8.820128042743776708e-01, -4.782608695652170727e-01, 8.000000000000000444e-01, 2.000000000000000000e+00
2.251203366079804979e+00, -8.178721143085090350e-01, -1.872470514433183797e-01, 8.000000000000000444e-01, 2.250000000000000000e+00
2.248751686272469019e+00, -6.352870739546774281e-01, 5.625111035289801636e-02, 8.000000000000000444e-01, 2.500000000000000000e+00
2.246917566174392089e+00, -3.522874626103235096e-01, 2.302268695582405100e-01, 8.000000000000000444e-01, 2.750000000000000000e+00
2.246252300595973139e+00, -2.442915619926396210e-17, 2.973622866034233425e-01, 8.000000000000000444e-01, 3.000000000000000000e+00
2.246917566174392089e+00, 3.522874626103233986e-01, 2.302268695582405100e-01, 8.000000000000000444e-01, 3.250000000000000000e+00
2.248751686272469019e+00, 6.352870739546772061e-01, 5.625111035289800943e-02, 8.000000000000000444e-01, 3.500000000000000000e+00
2.251203366079804979e+00, 8.178721143085087020e-01, -1.872470514433182132e-01, 8.000000000000000444e-01, 3.750000000000000000e+00
2.252486191367482959e+00, 8.820128042743776708e-01, -4.782608695652170727e-01, 8.000000000000000444e-01, 4.000000000000000000e+00
2.750000000000000000e+00, 1.000000000000000000e+00, -4.782608695652170727e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
2.749999999999998668e+00, 9.213630503193993571e-01, -8.054494737800670379e-01, 1.000000000000000000e+00, 2.500000000000000000e-01
2.749999999999999556e+00, 7.069681341850664325e-01, -1.072756800584477421e+00, 1.000000000000000000e+00, 5.000000000000000000e-01
2.750000000000001332e+00, 3.890891509582000141e-01, -1.253043434606531337e+00, 1.000000000000000000e+00, 7.500000000000000000e-01
2.750000000000000000e+00, 0.000000000000000000e+00, -1.319169960474307901e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.750000000000001332e+00, -3.890891509581999586e-01, -1.253043434606531115e+00, 1.000000000000000000e+00, 1.250000000000000000e+00
2.749999999999999556e+00, -7.069681341850665435e-01, -1.072756800584477199e+00, 1.000000000000000000e+00, 1.500000000000000000e+00
2.750000000000001332e+00, -9.213630503193998011e-01, -8.054494737800669268e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
2.749999999999999556e+00, -1.000000000000000000e+00, -4.782608695652170727e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
2.750000000000000000e+00, -9.213630503194000232e-01, -1.510722653503673296e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
2.750000000000000000e+00, -7.069681341850664325e-01, 1.162350614540433730e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
2.750000000000000444e+00, -3.890891509581999030e-01, 2.965216954760964696e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
2.749999999999999556e+00, 0.000000000000000000e+00, 3.626482213438739222e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.750000000000000444e+00, 3.890891509581997365e-01, 2.965216954760965806e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
2.749999999999999556e+00, 7.069681341850664325e-01, 1.162350614540434007e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
2.750000000000000000e+00, 9.213630503193998011e-01, -1.510722653503671908e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
2.750000000000000000e+00, 1.000000000000000000e+00, -4.782608695652170727e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
3.294624905579286889e+00, 1.100187193911635442e+00, -4.533913043478259852e-01, 1.199999999999999956e+00, 0.000000000000000000e+00
3.296335339296189382e+00, 1.006230971074038472e+00, -8.267883344053655881e-01, 1.199999999999999956e+00, 2.500000000000000000e-01
3.299604245705971106e+00, 7.608654313692113647e-01, -1.125533006114775914e+00, 1.199999999999999956e+00, 5.000000000000000000e-01
3.302049739170076492e+00, 4.144796212333911045e-01, -1.314723231564623340e+00, 1.199999999999999956e+00, 7.500000000000000000e-01
3.302936759941300870e+00, -3.197442310920451211e-17, -1.379871847248928862e+00, 1.199999999999999956e+00, 1.000000000000000000e+00
3.302049739170076492e+00, -4.144796212333910490e-01, -1.314723231564622674e+00, 1.199999999999999956e+00, 1.250000000000000000e+00
3.299604245705971106e+00, -7.608654313692113647e-01, -1.125533006114775691e+00, 1.199999999999999956e+00, 1.500000000000000000e+00
3.296335339296192046e+00, -1.006230971074038916e+00, -8.267883344053654771e-01, 1.199999999999999956e+00, 1.750000000000000000e+00
3.294624905579286889e+00, -1.100187193911635442e+00, -4.533913043478259852e-01, 1.199999999999999956e+00, 2.000000000000000000e+00
3.296335339296190270e+00, -1.006230971074039138e+00, -7.999427429028636849e-02, 1.199999999999999956e+00, 2.250000000000000000e+00
3.299604245705971550e+00, -7.608654313692113647e-01, 2.187503974191241096e-01, 1.199999999999999956e+00, 2.500000000000000000e+00
3.302049739170076492e+00, -4.144796212333909380e-01, 4.079406228689704816e-01, 1.199999999999999956e+00, 2.750000000000000000e+00
3.302936759941300426e+00, 3.807693129432114706e-18, 4.730892385532773359e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
3.302049739170075604e+00, 4.144796212333907159e-01, 4.079406228689705927e-01, 1.199999999999999956e+00, 3.250000000000000000e+00
3.299604245705971106e+00, 7.608654313692111426e-01, 2.187503974191240541e-01, 1.199999999999999956e+00, 3.500000000000000000e+00
3.296335339296190270e+00, 1.006230971074038916e+00, -7.999427429028628522e-02, 1.199999999999999956e+00, 3.750000000000000000e+00
3.294624905579286889e+00, 1.100187193911635442e+00, -4.533913043478259852e-01, 1.199999999999999956e+00, 4.000000000000000000e+00
